,ts,vs,us
0,0.03,0.09055053181232485,0.0
1,0.05,0.08167200297840187,0.0
2,0.08,0.11843959655763653,0.0
3,0.1,0.2049912569063518,0.0
4,0.13,0.10376239016983563,0.0
5,0.15,0.06779268728823017,0.0
6,0.18,0.14765571659394908,0.0
7,0.2,0.08314150053532506,0.0
8,0.23,0.043439013114688806,0.0
9,0.25,0.10957315883842986,0.0
10,0.28,0.06766593063119306,0.0
11,0.3,0.02671594620191062,0.0
12,0.33,0.08071992898392269,0.0
13,0.35,0.054239678256734015,0.0
14,0.38,0.015687084606185512,0.0
15,0.4,0.059455239807571295,0.0
16,0.43,0.043690534564293414,0.0
17,0.45,0.0,0.0
18,0.48,0.043211944368535905,0.0
19,0.5,0.034199970488333335,0.0
20,0.53,0.0,0.0
21,0.55,0.032045858974228944,0.0
22,0.58,0.027887586873700583,0.0
23,0.6,0.0,0.0
24,0.63,0.023089100157581536,0.0
25,0.65,0.021503323572412872,0.0
26,0.68,0.0,0.0
27,0.7,0.018417997725129073,0.0
28,0.73,0.01683343897786129,0.0
29,0.75,0.0,0.0
30,0.78,0.014181408620240253,0.0
31,0.8,0.013647753715432276,0.0
32,0.83,0.0,0.0
33,0.85,0.0,0.0
34,0.88,0.011112657869201042,0.0
35,0.9,0.0,0.0
36,0.93,0.0,0.0
37,0.95,0.0,0.0
38,0.98,0.0,0.0
39,1.0,0.0,0.0
40,1.03,0.0,0.0
41,1.05,0.0,0.0
42,1.08,0.0,0.0
43,1.1,0.0,0.0
44,1.13,0.0,0.0
45,1.15,0.0,0.0
46,1.18,0.0,0.0
47,1.2,0.0,0.0
48,1.23,0.0,0.0
49,1.25,0.0,0.0
50,1.28,0.0,0.0
51,1.3,0.0,0.0
52,1.33,0.0,0.0
53,1.35,0.0,0.0
54,1.38,0.0,0.0
55,1.4,0.0,0.0
56,1.43,0.0,0.0
57,1.45,0.0,0.0
58,1.48,0.0,0.0
59,1.5,0.0,0.0
60,1.53,0.0,0.0
61,1.55,0.0,0.0
62,1.58,0.0,0.0
63,1.6,0.0,0.0
64,1.63,0.0,0.0
65,1.65,0.0,0.0
66,1.68,0.0,0.0
67,1.7,0.0,0.25
68,1.73,0.0,0.25
69,1.75,0.0,0.25
70,1.78,0.046313562684637676,0.25
71,1.8,0.0848858487625109,0.25
72,1.83,0.11231347628177317,0.25
73,1.85,0.11883406600985376,0.25
74,1.88,0.11836921108591258,0.25
75,1.9,0.1295358769546572,0.25
76,1.93,0.15640148179316277,0.25
77,1.95,0.1865578011763278,0.25
78,1.98,0.2062298927417024,0.25
79,2.0,0.2145239837169651,0.25
80,2.03,0.2220890693069723,0.25
81,2.05,0.23830854089156658,0.25
82,2.08,0.2624271670631348,0.25
83,2.1,0.2848062163381343,0.25
84,2.13,0.29967917191810794,0.25
85,2.15,0.310299217018468,0.25
86,2.18,0.3229371213926401,0.25
87,2.2,0.3413025276015996,0.25
88,2.23,0.3624103452911037,0.25
89,2.25,0.38070311315665967,0.25
90,2.28,0.3946115744362229,0.25
91,2.3,0.40745677399995833,0.25
92,2.33,0.4224981615496037,0.25
93,2.35,0.440832290436476,0.25
94,2.38,0.4597728765414034,0.25
95,2.4,0.4756699980685895,0.25
96,2.43,0.4900290481640917,0.25
97,2.45,0.5045796557162909,0.25
98,2.48,0.5201891818415605,0.25
99,2.5,0.5375303001182246,0.25
100,2.53,0.5565800268645841,0.25
101,2.55,0.5730484927702897,0.25
102,2.58,0.5873916789635092,0.25
103,2.6,0.6004982440727687,0.25
104,2.63,0.6193042340209352,0.25
105,2.65,0.6362897196620098,0.25
106,2.68,0.6524520137170026,0.25
107,2.7,0.6706541741138121,0.25
108,2.73,0.6841539694084164,0.25
109,2.75,0.6991720746427169,0.25
110,2.78,0.7152831099129634,0.25
111,2.8,0.7324910462185821,0.25
112,2.83,0.7503976676585539,0.25
113,2.85,0.7657175200493459,0.25
114,2.88,0.7797910772380408,0.25
115,2.9,0.7970105965219767,0.25
116,2.93,0.8139213650138567,0.25
117,2.95,0.8316639921159281,0.25
118,2.98,0.8476854053546222,0.25
119,3.0,0.8622357413037908,0.25
120,3.03,0.8792037617706744,0.25
121,3.05,0.8959795775999184,0.25
122,3.08,0.912231702205024,0.25
123,3.1,0.9273006058629227,0.25
124,3.13,0.943358562954906,0.25
125,3.15,0.9582168724310729,0.25
126,3.18,0.9749662561157407,0.25
127,3.2,0.9898492280774053,0.25
128,3.23,1.0078559639526035,0.25
129,3.25,1.0258389679116358,0.25
130,3.28,1.0391492767727208,0.25
131,3.3,1.0558018943855214,0.25
132,3.33,1.0714890726746922,0.25
133,3.35,1.0892225595146654,0.25
134,3.38,1.1057395864954012,0.25
135,3.4,1.1213351710705817,0.25
136,3.43,1.1389671323667379,0.25
137,3.45,1.1555335973224816,0.25
138,3.48,1.1674862129869872,0.25
139,3.5,1.1828722161215686,0.25
140,3.53,1.200699467311216,0.25
141,3.55,1.216642281901901,0.25
142,3.58,1.232075114822923,0.25
143,3.6,1.2483630099981218,0.25
144,3.63,1.2654491986582062,0.25
145,3.65,1.2788275788519232,0.25
146,3.68,1.2976535509051823,0.25
147,3.7,1.3149478586188177,0.25
148,3.73,1.3343637597117357,0.25
149,3.75,1.3491759681306135,0.25
150,3.78,1.3638568993862639,0.25
151,3.8,1.3763435313107808,0.25
152,3.83,1.3951554839096854,0.25
153,3.85,1.409648330511885,0.25
154,3.88,1.4276430169348213,0.25
155,3.9,1.442208209962051,0.25
156,3.93,1.455481254152179,0.25
157,3.95,1.4718421626357328,0.25
158,3.98,1.4879547736506482,0.25
159,4.0,1.5080025418512615,0.25
160,4.03,1.5255896851360053,0.25
161,4.05,1.5395280476475843,0.25
162,4.08,1.5550991727174337,0.25
163,4.1,1.5696366422706363,0.25
164,4.13,1.5881057613472882,0.25
165,4.15,1.6018284109918333,0.25
166,4.18,1.6171672213490695,0.25
167,4.2,1.6328097160350983,0.25
168,4.23,1.6457522642437892,0.25
169,4.25,1.664667940698951,0.25
170,4.28,1.6799317129978335,0.25
171,4.3,1.6939223112633022,0.25
172,4.33,1.71101996387152,0.25
173,4.35,1.7257205163319902,0.25
174,4.38,1.7415765603851485,0.25
175,4.4,1.7588909769880767,0.25
176,4.43,1.7757197314965572,0.25
177,4.45,1.789926807061053,0.25
178,4.48,1.8034624482330404,0.25
179,4.5,1.8228332912034897,0.25
180,4.53,1.8399533951158735,0.25
181,4.55,1.8554665553214031,0.25
182,4.58,1.8651358086533634,0.25
183,4.6,1.8827727756763282,0.25
184,4.63,1.8958059537474845,0.25
185,4.65,1.9113924258314725,0.25
186,4.68,1.926788436770638,0.25
187,4.7,1.944923906231676,0.25
188,4.73,1.961253397654432,0.25
189,4.75,1.977785491843972,0.25
190,4.78,1.9955812178109584,0.25
191,4.8,2.012574126795729,0.25
192,4.83,2.0262183632611936,0.25
193,4.85,2.0404042790155885,0.25
194,4.88,2.0556023859893684,0.25
195,4.9,2.072206973269078,0.25
196,4.93,2.0905772761922075,0.25
197,4.95,2.104959239401488,0.25
198,4.98,2.120233779638139,0.25
199,5.0,2.132531204291494,0.25
200,5.03,2.1513290728370675,0.25
201,5.05,2.167568964607758,0.25
202,5.08,2.1871919848730927,0.25
203,5.1,2.2005014569659913,0.25
204,5.13,2.214766743249892,0.25
205,5.15,2.2307675835812555,0.25
206,5.18,2.248399976321097,0.25
207,5.2,2.263433085555106,0.25
208,5.23,2.276851477082477,0.25
209,5.25,2.2937472854763636,0.25
210,5.28,2.3065862082407422,0.25
211,5.3,2.3223128291977844,0.25
212,5.33,2.3398691518335837,0.25
213,5.35,2.3540998958571087,0.25
214,5.38,2.3664668383383263,0.25
215,5.4,2.3809289855053795,0.25
216,5.43,2.3970534369701917,0.25
217,5.45,2.4134907626494386,0.25
218,5.48,2.430273796230331,0.25
219,5.5,2.4456670480102827,0.25
220,5.53,2.460567048754459,0.25
221,5.55,2.4795543257376336,0.25
222,5.58,2.4978633481731234,0.25
223,5.6,2.513409969012067,0.25
224,5.63,2.527550242895238,0.25
225,5.65,2.5413609406032442,0.25
226,5.68,2.555382365389546,0.25
227,5.7,2.5708621442252424,0.25
228,5.73,2.586749414065795,0.25
229,5.75,2.601435238418325,0.25
230,5.78,2.618815848142527,0.25
231,5.8,2.6376536412262346,0.25
232,5.83,2.6496214235997213,0.25
233,5.85,2.661121519607806,0.25
234,5.88,2.6795793064535838,0.25
235,5.9,2.6971604107581744,0.25
236,5.93,2.7113567250835375,0.25
237,5.95,2.7248248812140545,0.25
238,5.98,2.7410471205528033,0.25
239,6.0,2.7545092024126645,0.25
240,6.03,2.772542158591585,0.25
241,6.05,2.7885504318880794,0.25
242,6.08,2.804896252576992,0.25
243,6.1,2.819169519461087,0.25
244,6.13,2.834830814050093,0.25
245,6.15,2.8499998464485983,0.25
246,6.18,2.8651178190426756,0.25
247,6.2,2.878737161891263,0.25
248,6.23,2.889845389344753,0.25
249,6.25,2.904852413801213,0.25
250,6.28,2.922091609055461,0.25
251,6.3,2.9389915103846374,0.25
252,6.33,2.9564214804203117,0.25
253,6.35,2.974272159487937,0.25
254,6.38,2.987961731742975,0.25
255,6.4,2.9989505140449597,0.25
256,6.43,3.011036294078685,0.25
257,6.45,3.030127113223692,0.25
258,6.48,3.0466256433212675,0.25
259,6.5,3.0596637432308817,0.25
260,6.53,3.069481682764564,0.25
261,6.55,3.0866200828625514,0.25
262,6.58,3.1043538727922764,0.25
263,6.6,3.120795490580262,0.25
264,6.63,3.1343305129782735,0.25
265,6.65,3.1474321890626835,0.25
266,6.68,3.1613459771590033,0.25
267,6.7,3.1779771160759873,0.25
268,6.73,3.1908989729120596,0.25
269,6.75,3.2067418688702474,0.25
270,6.78,3.2255156635645466,0.25
271,6.8,3.240870371772854,0.25
272,6.83,3.2555054501616465,0.25
273,6.85,3.2690161452005304,0.25
274,6.88,3.2829629091694246,0.25
275,6.9,3.297380009823526,0.25
276,6.93,3.3140050479699634,0.25
277,6.95,3.331843590439863,0.25
278,6.98,3.345990972745019,0.25
279,7.0,3.3552827099181286,0.25
280,7.03,3.3726164453298857,0.25
281,7.05,3.3890985680203847,0.25
282,7.08,3.4029457805649153,0.25
283,7.1,3.415800654501297,0.25
284,7.13,3.427899631185063,0.25
285,7.15,3.4466101946717664,0.25
286,7.18,3.456243314615799,0.25
287,7.2,3.4746349403810814,0.25
288,7.23,3.490080155816305,0.25
289,7.25,3.5033339542305626,0.25
290,7.28,3.5180114337223936,0.25
291,7.3,3.5345996499202124,0.25
292,7.33,3.5472692164415216,0.25
293,7.35,3.565994842674542,0.25
294,7.38,3.584935460468163,0.25
295,7.4,3.6001039121826457,0.25
296,7.43,3.6105316109347827,0.25
297,7.45,3.624303980925432,0.25
298,7.48,3.6348599124322645,0.25
299,7.5,3.649509601895486,0.25
300,7.53,3.6662980785419155,0.25
301,7.55,3.682516800961361,0.25
302,7.58,3.6934306009646725,0.25
303,7.6,3.7066546824983995,0.25
304,7.63,3.7208037123974576,0.25
305,7.65,3.739973448666113,0.25
306,7.68,3.7527934694146095,0.25
307,7.7,3.767439628699296,0.25
308,7.73,3.7823776134694764,0.25
309,7.75,3.7974063565073406,0.25
310,7.78,3.8139960552557173,0.25
311,7.8,3.8341662458240755,0.25
312,7.83,3.851397003283531,0.25
313,7.85,3.8649187417622213,0.25
314,7.88,3.8766064320394036,0.25
315,7.9,3.8893684008259024,0.25
316,7.93,3.9062036389203003,0.25
317,7.95,3.9238804698912992,0.25
318,7.98,3.9396565490814757,0.25
319,8.0,3.9526227393458124,0.25
320,8.03,3.965298362785064,0.25
321,8.05,3.9798477358295266,0.25
322,8.08,3.9963032854763765,0.25
323,8.1,4.012548568797854,0.25
324,8.13,4.027152171925959,0.25
325,8.15,4.0405007334958585,0.25
326,8.18,4.053886694613965,0.25
327,8.2,4.068539446852488,0.25
328,8.23,4.08476986351912,0.25
329,8.25,4.100101891545927,0.25
330,8.28,4.114382731754343,0.25
331,8.3,4.128222405603402,0.25
332,8.33,4.141930784330266,0.25
333,8.35,4.156975125441991,0.25
334,8.38,4.17212259475453,0.25
335,8.4,4.186671782715475,0.25
336,8.43,4.201038575382142,0.25
337,8.45,4.215146954437557,0.25
338,8.48,4.2301036038040465,0.25
339,8.5,4.244298745891931,0.25
340,8.53,4.258902109198806,0.25
341,8.55,4.273297535203756,0.25
342,8.58,4.28809333894668,0.25
343,8.6,4.301990978297774,0.25
344,8.63,4.316732030634927,0.25
345,8.65,4.331128914840838,0.25
346,8.68,4.345743557239268,0.25
347,8.7,4.360163806341054,0.0
348,8.73,4.383482890106979,0.0
349,8.75,4.397808456907862,0.0
350,8.78,4.371563641820639,0.0
351,8.8,4.333531787952573,0.0
352,8.83,4.317079121887939,0.0
353,8.85,4.329941026013533,0.0
354,8.88,4.349163950855643,0.0
355,8.9,4.349951772718921,0.0
356,8.93,4.3291716263537605,0.0
357,8.95,4.305611899149752,0.0
358,8.98,4.297396547022556,0.0
359,9.0,4.304688213514518,0.0
360,9.03,4.312639162469107,0.0
361,9.05,4.308080072455471,0.0
362,9.08,4.292465848766764,0.0
363,9.1,4.277906532875965,0.0
364,9.13,4.272966766090258,0.0
365,9.15,4.275755623082181,0.0
366,9.18,4.277230811360531,0.0
367,9.2,4.2706870815088065,0.0
368,9.23,4.259191092792195,0.0
369,9.25,4.2493598324200885,0.0
370,9.28,4.245522032989337,0.0
371,9.3,4.24525773057481,0.0
372,9.33,4.242829057541216,0.0
373,9.35,4.236179834741105,0.0
374,9.38,4.227034894828183,0.0
375,9.4,4.21967255532266,0.0
376,9.43,4.216032464959054,0.0
377,9.45,4.213875884441121,0.0
378,9.48,4.2098204946087865,0.0
379,9.5,4.202944851010678,0.0
380,9.53,4.195287877013102,0.0
381,9.55,4.189469545374899,0.0
382,9.58,4.185680565413791,0.0
383,9.6,4.182392731783664,0.0
384,9.63,4.177511028057697,0.0
385,9.65,4.171137086493545,0.0
386,9.68,4.164076393785019,0.0
387,9.7,4.158492151546281,0.0
388,9.73,4.154737456158075,0.0
389,9.75,4.1509809893016305,0.0
390,9.78,4.145930821184511,0.0
391,9.8,4.139466159331676,0.0
392,9.83,4.133174933769621,0.0
393,9.85,4.127756162606689,0.0
394,9.88,4.123621112993631,0.0
395,9.9,4.119441848822676,0.0
396,9.93,4.114181193806583,0.0
397,9.95,4.1084748620582765,0.0
398,9.98,4.102565566675461,0.0
399,10.0,4.097372801355217,0.0
